I0,I1,I2,I3,I4,I5,I6,I7,I8
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.44050,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.03295,127.39655,0.00000,777.00000,0.00000,0.00000,0.00000,0.00000,1.00000
